,Size,Watchers
504,1848,1
505,202,11
506,6668,1
507,102,3
508,1424,5
509,5,0
510,356,2
511,133,0
512,10299,58
513,957,7
514,148,7
515,80804,1
516,48,1
517,244,1
518,1239,1
519,87,4
520,76,21
521,132,7
522,1415,0
523,3124,0
524,84,4
525,89,8
526,965,0
527,102,0
528,13346,0
529,12364,0
530,11612,1
531,116,1
532,20,1
533,0,0
534,76,1
535,1493,0
536,193,0
537,426,0
538,469,2
539,1570,1
540,75,0
541,1,0
542,100,4
543,39,0
544,0,2
545,112,5
546,3168,0
547,33,0
548,1141,1565
549,8029,0
550,3484,0
551,555,1
552,296,5
553,2844,1
554,200,0
555,2033,0
556,75530,0
557,222,1
558,287,22
559,90,1
560,193,2
561,126,11
562,1,0
563,121,2
564,5365,1
565,264,0
566,186,157
567,12945,0
568,80,1
569,186,1
570,419,0
571,65,0
572,307,0
573,36531,0
574,590,2
575,308,3
576,85,18
577,1534,0
578,5024,1
579,80,7
580,96,0
581,103,1
582,79,0
583,112,0
584,96,0
585,18,11
586,363,53
587,81,1
588,466372,0
589,1197,4
590,4405,11
591,118,146
592,213,9
593,113,60
594,9252,0
595,20170,0
596,389,4
597,126,1
598,3729,1
599,84,7
600,5324,2
601,163,1
602,1848,1
603,202,11
604,6668,1
605,102,3
606,1424,5
607,5,0
608,356,2
609,133,0
610,10299,58
611,957,7
612,148,7
613,80804,1
614,48,1
615,244,1
616,1239,1
617,87,4
618,76,21
619,132,7
620,1415,0
621,3124,0
622,84,4
623,89,8
624,965,0
625,102,0
626,13346,0
627,12364,0
628,11612,1
629,116,1
630,20,1
631,0,0
632,76,1
633,1493,0
634,193,0
635,426,0
636,469,2
637,1570,1
638,75,0
639,1,0
640,100,4
641,39,0
642,0,2
643,112,5
644,3168,0
645,33,0
646,1141,1565
647,8029,0
648,3484,0
649,555,1
650,296,5
651,2844,1
652,200,0
653,2033,0
654,75530,0
655,222,1
656,287,22
657,90,1
658,193,2
659,126,11
660,1,0
661,121,2
662,5365,1
663,264,0
664,186,157
665,12945,0
666,80,1
667,186,1
668,419,0
669,65,0
670,307,0
671,36531,0
672,590,2
673,308,3
674,85,18
675,1534,0
676,5024,1
677,80,7
678,96,0
679,103,1
680,79,0
681,112,0
682,96,0
683,18,11
684,363,53
685,81,1
686,466372,0
687,1197,4
688,4405,11
689,118,146
690,213,9
691,113,60
692,9252,0
693,20170,0
694,389,4
695,126,1
696,3729,1
697,84,7
698,5324,2
699,163,1
700,1848,1
701,202,11
702,6668,1
703,102,3
704,1424,5
705,5,0
706,356,2
707,133,0
708,10299,58
709,957,7
710,148,7
711,80804,1
712,48,1
713,244,1
714,1239,1
715,87,4
716,76,21
717,132,7
718,1415,0
719,3124,0
720,84,4
721,89,8
722,965,0
723,102,0
724,13346,0
725,12364,0
726,11612,1
727,116,1
728,20,1
729,0,0
730,76,1
731,1493,0
732,193,0
733,426,0
734,469,2
735,1570,1
736,75,0
737,1,0
738,100,4
739,39,0
740,0,2
741,112,5
742,3168,0
743,33,0
744,1141,1565
745,8029,0
746,3484,0
747,555,1
748,296,5
749,2844,1
750,200,0
751,2033,0
752,75530,0
753,222,1
754,287,22
755,90,1
756,193,2
757,126,11
758,1,0
759,121,2
760,5365,1
761,264,0
762,186,157
763,12945,0
764,80,1
765,186,1
766,419,0
767,65,0
768,307,0
769,36531,0
770,590,2
771,308,3
772,85,18
773,1534,0
774,5024,1
775,80,7
776,96,0
777,103,1
778,79,0
779,112,0
780,96,0
781,18,11
782,363,53
783,81,1
784,466372,0
785,1197,4
786,4405,11
787,118,146
788,213,9
789,113,60
790,9252,0
791,20170,0
792,389,4
793,126,1
794,3729,1
795,84,7
796,5324,2
797,163,1
798,1848,1
799,202,11
800,6668,1
801,102,3
802,1424,5
803,5,0
804,356,2
805,133,0
806,10299,58
807,957,7
808,148,7
809,80804,1
810,48,1
811,244,1
812,1239,1
813,87,4
814,76,21
815,132,7
816,1415,0
817,3124,0
818,84,4
819,89,8
820,965,0
821,102,0
822,13346,0
823,12364,0
824,11612,1
825,116,1
826,20,1
827,0,0
828,76,1
829,1493,0
830,193,0
831,426,0
832,469,2
833,1570,1
834,75,0
835,1,0
836,100,4
837,39,0
838,0,2
839,112,5
840,3168,0
841,33,0
842,1141,1565
843,8029,0
844,3484,0
845,555,1
846,296,5
847,2844,1
848,200,0
849,2033,0
850,75530,0
851,222,1
852,287,22
853,90,1
854,193,2
855,126,11
856,1,0
857,121,2
858,5365,1
859,264,0
860,186,157
861,12945,0
862,80,1
863,186,1
864,419,0
865,65,0
866,307,0
867,36531,0
868,590,2
869,308,3
870,85,18
871,1534,0
872,5024,1
873,80,7
874,96,0
875,103,1
876,79,0
877,112,0
878,96,0
879,18,11
880,363,53
881,81,1
882,466372,0
883,1197,4
884,4405,11
885,118,146
886,213,9
887,113,60
888,9252,0
889,20170,0
890,389,4
891,126,1
892,3729,1
893,84,7
894,5324,2
895,163,1
896,1848,1
897,202,11
898,6668,1
899,102,3
900,1424,5
901,5,0
902,356,2
903,133,0
904,10299,58
905,957,7
906,148,7
907,80804,1
908,48,1
909,244,1
910,1239,1
911,87,4
912,76,21
913,132,7
914,1415,0
915,3124,0
916,84,4
917,89,8
918,965,0
919,102,0
920,13346,0
921,12364,0
922,11612,1
923,116,1
924,20,1
925,0,0
926,76,1
927,1493,0
928,193,0
929,426,0
930,469,2
931,1570,1
932,75,0
933,1,0
934,100,4
935,39,0
936,0,2
937,112,5
938,3168,0
939,33,0
940,1141,1565
941,8029,0
942,3484,0
943,555,1
944,296,5
945,2844,1
946,200,0
947,2033,0
948,75530,0
949,222,1
950,287,22
951,90,1
952,193,2
953,126,11
954,1,0
955,121,2
956,5365,1
957,264,0
958,186,157
959,12945,0
960,80,1
961,186,1
962,419,0
963,65,0
964,307,0
965,36531,0
966,590,2
967,308,3
968,85,18
969,1534,0
970,5024,1
971,80,7
972,96,0
973,103,1
974,79,0
975,112,0
976,96,0
977,18,11
978,363,53
979,81,1
