"","namelist","followerlist","followinglist","publicRepos","dataTypeList","dataCreatedAt","dataUpdatedAt","dataLocation"
"59",sr,474,193,125,User,2008-01-29T20:37:53Z,2017-11-14T10:22:32Z,San Francisco, California, USA
"60",lifo,555,54,16,User,2008-01-29T23:09:30Z,2017-08-14T19:08:57Z,Santa Monica,CA
"61",rsl,55,9,30,User,2008-01-29T23:13:36Z,2017-12-07T16:30:30Z,West Linn, OR
"62",imownbey,48,60,39,User,2008-01-29T23:13:44Z,2017-09-05T06:12:54Z,San Francisco
"63",dylanegan,102,0,56,User,2008-01-29T23:15:18Z,2017-11-07T16:24:08Z,Republic of Texas
"64",jm,478,31,119,User,2008-01-29T23:15:32Z,2017-11-30T17:14:26Z,Cincinnati, Oh
"65",willcodeforfoo,37,16,44,User,2008-01-29T23:48:24Z,2017-11-30T19:36:52Z,Ann Arbor, MI
"66",jvantuyl,28,8,42,User,2008-01-30T01:11:50Z,2017-09-23T00:10:35Z,Brisbane, Australia
"67",BrianTheCoder,77,32,109,User,2008-01-30T02:22:32Z,2017-10-19T04:39:29Z,South Australia
"68",freeformz,141,20,174,User,2008-01-30T06:19:57Z,2017-11-21T21:32:36Z,London
"69",hassox,303,70,133,User,2008-01-30T06:31:06Z,2017-11-28T23:02:56Z,San Francisco, CA
"70",automatthew,65,15,20,User,2008-01-30T19:00:58Z,2017-08-14T19:40:15Z,Santa Monica, CA
"71",queso,322,22,73,User,2008-01-30T19:48:45Z,2017-12-01T15:40:02Z,Columbus Indiana
"72",lancecarlson,76,89,109,User,2008-01-30T19:53:29Z,2017-12-02T23:59:56Z,Copacabana, Australia
"73",drnic,1518,14,490,User,2008-01-30T23:19:18Z,2017-12-12T11:55:11Z,San Francisco, CA
"74",lukesutton,36,4,10,User,2008-01-31T04:01:02Z,2017-12-15T02:59:13Z,Cambridge, UK
"75",danwrong,309,31,31,User,2008-01-31T08:51:31Z,2017-12-14T11:46:11Z,Carlsbad, CA
"76",hcatlin,508,2,59,User,2008-01-31T17:03:51Z,2017-12-06T18:38:54Z,Houston, TX
"77",jfrost,9,0,8,User,2008-01-31T22:14:27Z,2017-08-15T06:19:18Z,Los Angeles
"78",mattetti,814,7,250,User,2008-01-31T22:56:31Z,2017-12-03T17:03:43Z,Bucharest
"79",ctennis,15,0,14,User,2008-01-31T23:43:14Z,2017-12-15T12:48:55Z,Kansas City
"80",lawrencepit,18,6,39,User,2008-01-31T23:57:16Z,2017-12-15T02:57:54Z,Denver, CO
"81",marcjeanson,28,14,32,User,2008-02-01T01:27:19Z,2017-11-21T17:31:42Z,Holland, MI
"82",grempe,60,5,34,User,2008-02-01T04:12:42Z,2017-10-06T23:33:44Z,Montreal, QC, Canada
"83",peterc,607,25,36,User,2008-02-02T01:00:36Z,2017-08-30T10:27:40Z,SF
"84",ministrycentered,0,0,74,Organization,2008-02-02T03:50:26Z,2017-09-12T09:21:56Z,Holland, MI
"85",afarnham,16,16,13,User,2008-02-02T05:11:03Z,2017-12-11T19:41:19Z,Salt Lake City, UT, USA
"86",up_the_irons,21,1,30,User,2008-02-02T10:59:51Z,2017-08-15T06:19:18Z,Milwaukee, WI
"87",cristibalan,75,35,22,User,2008-02-02T11:29:45Z,2017-12-04T18:22:54Z,Fort Lauderdale
"88",heavysixer,74,33,59,User,2008-02-02T15:06:53Z,2017-12-14T23:15:44Z,Paris, France
"89",brosner,708,109,115,User,2008-02-02T19:03:54Z,2017-11-20T19:52:46Z,Mission, BC, Canada
"90",danielmorrison,84,19,15,User,2008-02-02T19:46:35Z,2017-11-21T19:07:23Z,Gothenburg, Sweden
"91",danielharan,72,36,33,User,2008-02-02T21:42:21Z,2017-11-23T04:09:37Z,San Francisco
"92",kvnsmth,87,40,23,User,2008-02-02T22:00:03Z,2017-12-13T21:03:05Z,San Francisco
"93",collectiveidea,0,0,148,Organization,2008-02-02T22:34:46Z,2017-10-27T14:40:05Z,San Francisco
"94",canadaduane,76,12,124,User,2008-02-02T23:25:39Z,2017-12-04T22:28:52Z,San Francisco
"95",nate,46,1,72,User,2008-02-03T04:20:22Z,2017-10-16T22:38:17Z,In the NW
"96",dstrelau,57,46,36,User,2008-02-03T14:59:12Z,2017-11-07T20:04:03Z,Bay Minette, AL
"97",sunny,108,93,124,User,2008-02-03T15:43:43Z,2017-10-21T08:59:43Z,Los Angeles, CA
"98",dkubb,492,8,37,User,2008-02-03T20:40:13Z,2017-12-09T03:11:02Z,San Francisco
"99",jnicklas,775,7,118,User,2008-02-03T20:43:50Z,2017-11-10T10:08:14Z,Buffalo, NY
