,Size
739,39
740,0
741,112
742,3168
743,33
744,1141
745,8029
746,3484
747,555
748,296
749,2844
750,200
751,2033
752,75530
753,222
754,287
755,90
756,193
757,126
758,1
759,121
760,5365
761,264
762,186
763,12945
764,80
765,186
766,419
767,65
768,307
769,36531
770,590
771,308
772,85
773,1534
774,5024
775,80
776,96
777,103
778,79
779,112
780,96
781,18
782,363
783,81
784,466372
785,1197
786,4405
787,118
788,213
789,113
790,9252
791,20170
792,389
793,126
794,3729
795,84
796,5324
797,163
798,1848
799,202
800,6668
801,102
802,1424
803,5
804,356
805,133
806,10299
807,957
808,148
809,80804
810,48
811,244
812,1239
813,87
814,76
815,132
816,1415
817,3124
818,84
819,89
820,965
821,102
822,13346
823,12364
824,11612
825,116
826,20
827,0
828,76
829,1493
830,193
831,426
832,469
833,1570
834,75
835,1
836,100
837,39
838,0
839,112
840,3168
841,33
842,1141
843,8029
844,3484
845,555
846,296
847,2844
848,200
849,2033
850,75530
851,222
852,287
853,90
854,193
855,126
856,1
857,121
858,5365
859,264
860,186
861,12945
862,80
863,186
864,419
865,65
866,307
867,36531
868,590
869,308
870,85
871,1534
872,5024
873,80
874,96
875,103
876,79
877,112
878,96
879,18
880,363
881,81
882,466372
883,1197
884,4405
885,118
886,213
887,113
888,9252
889,20170
890,389
891,126
892,3729
893,84
894,5324
895,163
896,1848
897,202
898,6668
899,102
900,1424
901,5
902,356
903,133
904,10299
905,957
906,148
907,80804
908,48
909,244
910,1239
911,87
912,76
913,132
914,1415
915,3124
916,84
917,89
918,965
919,102
920,13346
921,12364
922,11612
923,116
924,20
925,0
926,76
927,1493
928,193
929,426
930,469
931,1570
932,75
933,1
934,100
935,39
936,0
937,112
938,3168
939,33
940,1141
941,8029
942,3484
943,555
944,296
945,2844
946,200
947,2033
948,75530
949,222
950,287
951,90
952,193
953,126
954,1
955,121
956,5365
957,264
958,186
959,12945
960,80
961,186
962,419
963,65
964,307
965,36531
966,590
967,308
968,85
969,1534
970,5024
971,80
972,96
973,103
974,79
975,112
976,96
977,18
978,363
979,81
980,47898
981,47898
982,47898
983,47898
984,47898
985,47898
986,47898
987,47898
988,47898
989,47898
990,47898
991,47898
992,47898
993,47898
994,47898
995,47898
996,47898
997,47898
